code,glyphs
prefix_beta3_y,opsh
prefix_beta3_z,daiir
prefix_gamma1_a,chckh
prefix_gamma1_b,psh
prefix_gamma1_c,qofch
prefix_gamma1_d,qol
prefix_gamma1_e,dsh
prefix_gamma1_f,qotsh
prefix_gamma1_g,sy
prefix_gamma1_h,ory
prefix_gamma1_i,sal
prefix_gamma1_l,qokch
prefix_gamma1_m,q
prefix_gamma1_n,aiir
prefix_gamma1_o,solk
prefix_gamma1_p,qor
prefix_gamma1_q,air
prefix_gamma1_r,qop
prefix_gamma1_s,ytch
prefix_gamma1_t,rch
prefix_gamma1_u,ckh
prefix_gamma1_v,da
prefix_gamma1_x,dk
prefix_gamma1_y,sk
prefix_gamma1_z,so
prefix_gamma2_a,al
prefix_gamma2_b,ary
prefix_gamma2_c,olt
prefix_gamma2_d,sair
prefix_gamma2_e,lsh
prefix_gamma2_f,dair
prefix_gamma2_g,dyt
prefix_gamma2_h,qocth
prefix_gamma2_i,olsh
prefix_gamma2_l,ockh
prefix_gamma2_m,d
prefix_gamma2_n,os
prefix_gamma2_o,oksh
prefix_gamma2_p,chcph
prefix_gamma2_q,oiiin
prefix_gamma2_r,otch
prefix_gamma2_s,ksh
prefix_gamma2_t,sor
prefix_gamma2_u,fch
prefix_gamma2_v,soiin
prefix_gamma2_x,x
prefix_gamma2_y,ail
prefix_gamma2_z,chcfh
suffix_alpha_a,aiin
suffix_alpha_b,l
suffix_alpha_c,eeey
suffix_alpha_d,eeody
suffix_alpha_e,edy
suffix_alpha_f,eam
suffix_alpha_g,g
suffix_alpha_h,eedal
suffix_alpha_i,dy
suffix_alpha_l,es
suffix_alpha_m,ody
suffix_alpha_n,al
suffix_alpha_o,or
suffix_alpha_p,edar
suffix_alpha_q,iin
suffix_alpha_r,eedy
suffix_alpha_s,ar
suffix_alpha_t,y
suffix_alpha_u,eey
suffix_alpha_v,edor
suffix_alpha_x,edo
suffix_alpha_y,oin
suffix_alpha_z,eeaiin
suffix_beta1_a,eol
suffix_beta1_b,ory
suffix_beta1_c,r
suffix_beta1_d,eeos
suffix_beta1_e,ey
suffix_beta1_f,iiin
